n,sigma(n),Prime Factorization,diff,Valid (d1, d2) Combinations
9189184,18515584,"2^6 * 67^1 * 2143^1",137216,"+137152 +64; +64 +137152"
9363584,18800640,"2^7 * 191^1 * 383^1",73472,"+24448 +49024; +49024 +24448"
9365504,19901700,"2^11 * 17^1 * 269^1",1170692,"+1170688 +4; +4 +1170688"
11484736,22971760,"2^6 * 139^1 * 1291^1",2288,"+2224 +64; +64 +2224"
12914432,26232696,"2^8 * 61^1 * 827^1",403832,"+256 +403576; +403576 +256"
13171264,26353008,"2^6 * 131^1 * 1571^1",10480,"+2096 +8384; +8384 +2096"
14644208,30149856,"2^4 * 17^2 * 3167^1",861440,"+16 +861424; +861424 +16"
14879296,29759148,"2^6 * 137^1 * 1697^1",556,"+548 +8; +8 +548"
15022352,30105774,"2^4 * 31^2 * 977^1",61070,"+496 +60574; +60574 +496"
15237616,30536736,"2^4 * 31^2 * 991^1",61504,"+61442 +62; +62 +61442"
17488256,35030880,"2^7 * 317^1 * 431^1",54368,"+13792 +40576; +40576 +13792"
17497408,35003232,"2^6 * 131^1 * 2087^1",8416,"+32 +8384; +8384 +32"
19362752,38831520,"2^6 * 97^1 * 3119^1",106016,"+6208 +99808; +99808 +6208"
21901696,43843680,"2^7 * 397^1 * 431^1",40288,"+12704 +27584; +27584 +12704"
23473664,49889664,"2^9 * 19^2 * 127^1",2942336,"+2934208 +8128; +8128 +2934208"
24552832,49137480,"2^7 * 433^1 * 443^1",31816,"+28352 +3464; +3464 +28352"
25076608,50184000,"2^7 * 409^1 * 479^1",30784,"+128 +30656; +30656 +128"
25612672,51255000,"2^7 * 401^1 * 499^1",29656,"+25664 +3992; +3992 +25664"
25679744,51387600,"2^7 * 439^1 * 457^1",28112,"+16 +28096; +28096 +16"
26201536,52468272,"2^6 * 113^1 * 3623^1",65200,"+57968 +7232; +7232 +57968"
26603392,53250120,"2^7 * 307^1 * 677^1",43336,"+43328 +8; +8 +43328"
28508288,57066960,"2^7 * 283^1 * 787^1",50384,"+16 +50368; +50368 +16"
29825408,59670000,"2^7 * 389^1 * 599^1",19184,"+16 +19168; +19168 +16"
30677056,61356240,"2^6 * 131^1 * 3659^1",2128,"+2096 +32; +32 +2096"
32718208,65441160,"2^7 * 443^1 * 577^1",4744,"+128 +4616; +4616 +128"
33557632,67121100,"2^7 * 409^1 * 641^1",5836,"+2564 +3272; +3272 +2564"
34433408,68878560,"2^7 * 367^1 * 733^1",11744,"+11728 +16; +16 +11728"
36723584,73450200,"2^7 * 379^1 * 757^1",3032,"+3028 +4; +4 +3028"
37428032,75049380,"2^6 * 97^1 * 6029^1",193316,"+192928 +388; +388 +192928"
38619968,77439012,"2^6 * 97^1 * 6221^1",199076,"+199072 +4; +4 +199072"
39276992,78644496,"2^6 * 113^1 * 5431^1",90512,"+3616 +86896; +86896 +3616"
39411712,83749896,"2^13 * 17^1 * 283^1",4926472,"+4926464 +8; +8 +4926464"
42315904,84651840,"2^7 * 311^1 * 1063^1",20032,"+128 +19904; +19904 +128"
42414464,84925200,"2^7 * 229^1 * 1447^1",96272,"+3664 +92608; +92608 +3664"
45228416,90555600,"2^7 * 229^1 * 1543^1",98768,"+16 +98752; +98752 +16"
46947328,99828096,"2^10 * 19^2 * 127^1",5933440,"+5868416 +65024; +65024 +5868416"
49602944,99246000,"2^7 * 277^1 * 1399^1",40112,"+17728 +22384; +22384 +17728"
50718016,101548692,"2^6 * 113^1 * 7013^1",112660,"+112208 +452; +452 +112208"
50893952,101902080,"2^7 * 223^1 * 1783^1",114176,"+114112 +64; +64 +114112"
51831424,103672800,"2^7 * 307^1 * 1319^1",9952,"+128 +9824; +9824 +128"
52121024,104357424,"2^6 * 113^1 * 7207^1",115376,"+115312 +64; +64 +115312"
52337984,104791764,"2^6 * 113^1 * 7237^1",115796,"+115792 +4; +4 +115792"
54178688,108360720,"2^7 * 311^1 * 1361^1",3344,"+2722 +622; +622 +2722"
55893632,111816480,"2^7 * 283^1 * 1543^1",29216,"+24688 +4528; +4528 +24688"
58522496,117136800,"2^7 * 239^1 * 1913^1",91808,"+30592 +61216; +61216 +30592"
61019008,122051160,"2^7 * 293^1 * 1627^1",13144,"+128 +13016; +13016 +128"
70240000,175600040,"2^8 * 5^4 * 439^1",35120040,"+35120000 +40; +40 +35120000"
76693504,159378688,"2^14 * 31^1 * 151^1",5991680,"+1198336 +4793344; +4793344 +1198336"
80811904,161659800,"2^7 * 269^1 * 2347^1",35992,"+17216 +18776; +18776 +17216"
81281152,162792000,"2^7 * 199^1 * 3191^1",229696,"+204224 +25472; +25472 +204224"
96353792,193461576,"2^9 * 307^1 * 613^1",753992,"+1228 +752764; +752764 +1228"
99950464,199909800,"2^7 * 277^1 * 2819^1",8872,"+8 +8864; +8864 +8"
100651008,268402688,"2^12 * 3^1 * 8191^1",67100672,"+16775168 +50325504; +50325504 +16775168"
100917248,205508352,"2^13 * 97^1 * 127^1",3673856,"+3153664 +520192; +520192 +3153664"
102391424,204897600,"2^7 * 239^1 * 3347^1",114752,"+107104 +7648; +7648 +107104"
112360064,224721300,"2^7 * 277^1 * 3169^1",1172,"+1108 +64; +64 +1108"
116892032,233906400,"2^7 * 239^1 * 3821^1",122336,"+122272 +64; +64 +122272"
116953216,234028800,"2^7 * 239^1 * 3823^1",122368,"+122336 +32; +32 +122336"
117563392,239060736,"2^13 * 113^1 * 127^1",3933952,"+260096 +3673856; +3673856 +260096"
118032896,236988180,"2^9 * 269^1 * 857^1",922388,"+256 +922132; +922132 +256"
121832576,243984000,"2^7 * 199^1 * 4783^1",318848,"+12736 +306112; +306112 +12736"
121956608,244298880,"2^8 * 359^1 * 1327^1",385664,"+339712 +45952; +45952 +339712"
137139712,278566992,"2^9 * 61^1 * 4391^1",4287568,"+1952 +4285616; +4285616 +1952"
140950016,286304964,"2^9 * 61^1 * 4513^1",4404932,"+244 +4404688; +4404688 +244"
143462656,287132944,"2^8 * 691^1 * 811^1",207632,"+16 +207616; +207616 +16"
148081408,296543520,"2^8 * 389^1 * 1487^1",380704,"+32 +380672; +380672 +32"
150111488,300615168,"2^8 * 383^1 * 1531^1",392192,"+256 +391936; +391936 +256"
161976448,324360000,"2^7 * 199^1 * 6359^1",407104,"+128 +406976; +406976 +128"
162180224,324768000,"2^7 * 199^1 * 6367^1",407552,"+407488 +64; +64 +407488"
162333056,325074000,"2^7 * 199^1 * 6373^1",407888,"+16 +407872; +407872 +16"
166602496,333392752,"2^8 * 673^1 * 967^1",187760,"+15472 +172288; +172288 +15472"
184773312,554319948,"2^6 * 3^5 * 109^2",184773324,"+12 +184773312; +184773312 +12"
188490496,377175232,"2^8 * 607^1 * 1213^1",194240,"+155392 +38848; +38848 +155392"
197228704,394463034,"2^5 * 67^2 * 1373^1",5626,"+134 +5492; +5492 +134"
210321152,420826896,"2^8 * 601^1 * 1367^1",184592,"+174976 +9616; +9616 +174976"
